0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;7;1;3;6;1;5;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;7;1;3;8;1;5;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;3;1;5;8;1;6;7;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;7;1;1;6;1;2;5;1;3;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;3;1;5;6;1;7;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;5;1;3;6;1;7;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;7;1;1;8;1;2;5;1;3;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;8;1;2;7;1;3;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;8;1;2;3;1;6;7;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;2;1;3;6;1;7;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;6;1;2;3;1;7;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;7;1;3;6;1;4;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;3;1;4;8;1;6;7;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;7;1;1;2;1;3;6;1;4;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;7;1;1;6;1;2;3;1;4;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;8;1;2;3;1;5;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;8;1;2;5;1;3;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;3;1;4;8;1;5;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;1;1;2;5;1;3;6;1;4;8;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;2;1;3;6;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;2;1;3;6;1;5;7;
0;0;8;0;1;7;0;2;6;0;3;5;1;0;4;1;1;6;1;2;5;1;3;7;
